SEC,Marks,REGD
A,18,01
A,16,03
A,24,04
A,25,05
A,19,06
A,-1,07
A,25,08
A,23,09
A,24,10
A,24,11
A,19,12
A,23,13
A,24,14
A,22,17
A,24,22
A,25,26
A,25,28
A,20,30
A,15,32
A,21,33
A,17,35
A,21,37
A,19,38
A,12,39
A,22,40
A,19,41
A,6,43
A,21,44
A,19,46
A,24,49
A,10,53
A,23,54
A,24,55
A,24,57
A,24,61
A,24,62
A,19,64
A,25,66
A,19,68
A,24,72
A,25,73
A,15,74
A,25,76
A,20,81
A,25,83
A,24,85
A,23,86
A,25,87
A,13,89
A,25,91
A,20,92
A,10,94
A,23,95
A,25,96
A,14,01
A,10,03
A,11,04
A,9,06
A,12,28
A,4,31
B,10,97
B,22,99
B,25,A2
B,18,A4
B,25,A9
B,18,B2
B,25,B3
B,25,B4
B,25,B5
B,24,B7
B,22,B8
B,20,C0
B,24,C5
B,17,C8
B,20,C9
B,-7,D0
B,25,D2
B,21,D3
B,-7,D5
B,17,D6
B,25,D7
B,21,D8
B,19,D9
B,24,E0
B,17,E1
B,24,E2
B,21,E3
B,21,E4
B,23,E6
B,23,E7
B,21,E8
B,18,E9
B,-7,F0
B,21,F1
B,20,F2
B,17,F3
B,20,F4
B,24,F5
B,25,F6
B,25,F7
B,25,F8
B,25,F9
B,22,G0
B,25,G1
B,25,G2
B,22,G3
B,14,G4
B,24,G5
B,17,G6
B,16,G7
B,25,G8
B,-7,G9
B,22,H0
B,24,H1
B,15,H2
B,18,08
B,16,11
B,23,14
B,23,27
B,-7,35
B,16,36
c,23,H3
c,23,H4
c,17,H5
c,24,H6
c,25,H7
c,21,H8
c,23,H9
c,23,I0
c,20,I1
c,25,I2
c,25,I3
c,23,I4
c,24,I5
c,23,I7
c,23,I8
c,22,I9
c,14,J1
c,21,J2
c,25,J3
c,23,J4
c,23,J5
c,22,J6
c,23,J7
c,22,J8
c,22,J9
c,-7,K0
c,25,K1
c,22,K3
c,21,K4
c,23,K5
c,21,K7
c,20,K9
c,22,L1
c,23,L2
c,16,L3
c,25,L4
c,24,L5
c,20,L6
c,22,L7
c,23,L8
c,25,M0
c,20,M1
c,20,M2
c,19,M3
c,23,M5
c,25,M6
c,23,M7
c,20,M8
c,23,N0
c,21,N1
c,23,N2
c,23,N6
c,18,N8
c,23,O1
c,21,15
c,23,22
c,20,23
c,22,24
c,23,25
c,18,26
c,22,30
D,0,O3
D,25,O4
D,5,O5
D,-1,O7
D,2,O8
D,6,O9
D,9,P0
D,24,P1
D,23,P2
D,18,P3
D,21,P5
D,23,P6
D,24,P7
D,23,P8
D,25,P9
D,14,Q0
D,7,Q1
D,23,Q2
D,20,Q3
D,22,Q4
D,24,Q5
D,23,Q6
D,19,Q7
D,21,Q8
D,22,R0
D,20,R1
D,14,R2
D,25,R3
D,-1,R4
D,24,R5
D,23,R6
D,24,R7
D,21,R8
D,24,R9
D,24,S0
D,17,S1
D,24,S2
D,-1,S3
D,23,S4
D,22,S5
D,15,S6
D,14,S7
D,25,S8
D,23,S9
D,25,T0
D,25,T1
D,22,T2
D,19,T3
D,23,T4
D,23,T6
D,4,T7
D,19,T8
D,14,T9
D,22,U0
D,14,U1
D,22,U2
D,9,U3
D,15,U4
D,14,U5
